id_categoria,nombre_categoria,id_electrodomestico,nombre_electrodomestico,id_marca,nombre_marca,id_modelo,nombre_modelo,año_fabricacion,descripcion,voltaje,potencia
C02,limpieza,E00001,Secadora,M00001,Bosch,MD0001,Serie 4 WTG86400UC,2021,"Secadora marca Bosch modelo Serie 4 WTG86400UC, eficiente y de uso doméstico.",220,2527
C02,limpieza,E00002,Secadora,M00002,LG,MD0002,DLE3500W,2016,"Secadora marca LG modelo DLE3500W, eficiente y de uso doméstico.",220,2037
C02,limpieza,E00003,Hidrolavadora,M00003,Karcher,MD0003,K4 Full Control,2015,"Hidrolavadora marca Karcher modelo K4 Full Control, eficiente y de uso doméstico.",127,1483
C02,limpieza,E00004,Vaporeta,M00004,Karcher,MD0004,SC 3,2022,"Vaporeta marca Karcher modelo SC 3, eficiente y de uso doméstico.",240,1810
C02,limpieza,E00005,Aspiradora,M00005,iRobot,MD0005,Roomba s9,2024,"Aspiradora marca iRobot modelo Roomba s9, eficiente y de uso doméstico.",120,1000
C02,limpieza,E00006,Vaporeta,M00006,Polti,MD0006,Vaporella,2015,"Vaporeta marca Polti modelo Vaporella, eficiente y de uso doméstico.",240,1223
C02,limpieza,E00007,Plancha,M00007,Rowenta,MD0007,DW5080,2017,"Plancha marca Rowenta modelo DW5080, eficiente y de uso doméstico.",240,2214
C02,limpieza,E00008,Aspiradora,M00008,Hoover,MD0008,WindTunnel 2 UH72630,2016,"Aspiradora marca Hoover modelo WindTunnel 2 UH72630, eficiente y de uso doméstico.",120,870
C02,limpieza,E00009,Hidrolavadora,M00009,Karcher,MD0009,K4 Full Control,2016,"Hidrolavadora marca Karcher modelo K4 Full Control, eficiente y de uso doméstico.",127,2453
C02,limpieza,E00010,Aspiradora,M00010,Roborock,MD0010,S7,2024,"Aspiradora marca Roborock modelo S7, eficiente y de uso doméstico.",240,849
C02,limpieza,E00011,Aspiradora,M00011,Dyson,MD0011,V8 Absolute,2023,"Aspiradora marca Dyson modelo V8 Absolute, eficiente y de uso doméstico.",220,924
C02,limpieza,E00012,Aspiradora,M00012,Shark,MD0012,Navigator Lift-Away NV352,2015,"Aspiradora marca Shark modelo Navigator Lift-Away NV352, eficiente y de uso doméstico.",127,1348
C02,limpieza,E00013,Secadora,M00013,Whirlpool,MD0013,WED4815EW,2017,"Secadora marca Whirlpool modelo WED4815EW, eficiente y de uso doméstico.",220,2395
C02,limpieza,E00014,Lavavajillas,M00014,Whirlpool,MD0014,WDF330PAHW,2021,"Lavavajillas marca Whirlpool modelo WDF330PAHW, eficiente y de uso doméstico.",220,1622
C02,limpieza,E00015,Plancha,M00015,Rowenta,MD0015,DW5080,2023,"Plancha marca Rowenta modelo DW5080, eficiente y de uso doméstico.",220,1796
C02,limpieza,E00016,Lavadora,M00016,Whirlpool,MD0016,WTW5000DW,2024,"Lavadora marca Whirlpool modelo WTW5000DW, eficiente y de uso doméstico.",240,1765
C02,limpieza,E00017,Lavavajillas,M00017,GE,MD0017,GDT665SSNSS,2019,"Lavavajillas marca GE modelo GDT665SSNSS, eficiente y de uso doméstico.",120,1967
C02,limpieza,E00018,Vaporeta,M00018,Karcher,MD0018,SC 3,2021,"Vaporeta marca Karcher modelo SC 3, eficiente y de uso doméstico.",240,1973
C02,limpieza,E00019,Secadora,M00019,Samsung,MD0019,DV42H5000EW,2021,"Secadora marca Samsung modelo DV42H5000EW, eficiente y de uso doméstico.",220,2611
C02,limpieza,E00020,Secadora,M00020,Whirlpool,MD0020,WED4815EW,2019,"Secadora marca Whirlpool modelo WED4815EW, eficiente y de uso doméstico.",220,4467
C02,limpieza,E00021,Lavadora,M00021,Samsung,MD0021,WA50R5400AV,2022,"Lavadora marca Samsung modelo WA50R5400AV, eficiente y de uso doméstico.",120,1262
C02,limpieza,E00022,Lavadora,M00022,Whirlpool,MD0022,WTW5000DW,2024,"Lavadora marca Whirlpool modelo WTW5000DW, eficiente y de uso doméstico.",120,1216
C02,limpieza,E00023,Secadora,M00023,Bosch,MD0023,Serie 4 WTG86400UC,2019,"Secadora marca Bosch modelo Serie 4 WTG86400UC, eficiente y de uso doméstico.",120,1271
C02,limpieza,E00024,Lavadora,M00024,Samsung,MD0024,WA50R5400AV,2019,"Lavadora marca Samsung modelo WA50R5400AV, eficiente y de uso doméstico.",220,1295
C02,limpieza,E00025,Lavadora,M00025,Whirlpool,MD0025,WTW5000DW,2021,"Lavadora marca Whirlpool modelo WTW5000DW, eficiente y de uso doméstico.",127,1543
C02,limpieza,E00026,Vaporeta,M00026,Polti,MD0026,Vaporella,2017,"Vaporeta marca Polti modelo Vaporella, eficiente y de uso doméstico.",127,1726
C02,limpieza,E00027,Lavadora,M00027,Samsung,MD0027,WA50R5400AV,2024,"Lavadora marca Samsung modelo WA50R5400AV, eficiente y de uso doméstico.",127,1219
